,salary,games,bats,runs,rbi,hits,doubles,triples,homeruns,walks,strike_outs,weight,height
633,24857000,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,220,75
634,7000000,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,210,75
635,7700000,107.0,419.0,46.0,38.0,114.0,18.0,3.0,8.0,24.0,107.0,198,73
636,527300,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,75
637,527600,144.0,438.0,44.0,46.0,113.0,22.0,4.0,11.0,47.0,101.0,195,74
638,2725000,146.0,457.0,47.0,54.0,103.0,15.0,3.0,17.0,47.0,81.0,245,75
639,512500,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,76
640,519000,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,227,76
641,7000000,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,71
642,2505000,36.0,70.0,8.0,3.0,15.0,4.0,0.0,2.0,11.0,27.0,210,73
643,4500000,161.0,623.0,85.0,74.0,166.0,37.0,0.0,26.0,54.0,98.0,216,72
644,6000000,136.0,395.0,54.0,42.0,98.0,31.0,5.0,12.0,47.0,99.0,210,75
645,509300,52.0,127.0,9.0,7.0,20.0,6.0,0.0,1.0,6.0,21.0,200,72
646,512400,37.0,94.0,9.0,1.0,16.0,3.0,1.0,0.0,6.0,31.0,196,73
647,513100,29.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,235,76
648,2000000,37.0,84.0,7.0,9.0,14.0,1.0,0.0,2.0,9.0,25.0,210,72
649,1400000,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,78
650,523500,112.0,350.0,28.0,28.0,61.0,11.0,0.0,11.0,21.0,132.0,235,74
651,6000000,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225,76
652,4000000,93.0,355.0,42.0,26.0,102.0,12.0,3.0,5.0,30.0,25.0,180,69
653,1450000,40.0,58.0,5.0,4.0,12.0,1.0,0.0,1.0,0.0,12.0,185,73
654,3600000,137.0,492.0,73.0,68.0,138.0,33.0,5.0,18.0,56.0,147.0,231,75
655,3600000,115.0,327.0,59.0,26.0,95.0,19.0,3.0,5.0,40.0,59.0,187,70
656,6750000,36.0,77.0,9.0,9.0,19.0,2.0,0.0,5.0,3.0,27.0,257,76
657,21000000,13.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,230,75
658,3175000,143.0,507.0,65.0,84.0,130.0,33.0,4.0,21.0,39.0,119.0,223,73
659,509000,149.0,573.0,77.0,77.0,169.0,28.0,6.0,12.0,30.0,96.0,190,74
660,5000000,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210,72
661,12000000,24.0,38.0,3.0,1.0,7.0,2.0,0.0,1.0,1.0,11.0,175,73
662,1100000,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,220,75
663,517500,73.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225,75
